Q01051,"Mercury cannot sustain life because it is"
Q01052,"Leaves are the part of a plant with the most a type of"
Q01053,"Parakeets are birds whose basic plumage color is green. However, parakeets exhibit a wide range of color both in the wild and in captivity. Which process is the source of the wide color variation observed in parakeet populations?"
Q01054,"If a plant requires less water then that plant will survive from a lack of"
Q01055,"What is the use of technology to change the genetic makeup of living things for human purposes?"
Q01056,"What important process takes place in specialized tissue inside plant leaves?"
Q01057,"A place where penguins exist with pods of black and white mammals is"
Q01058,"in evolution, what changes in living things over time?"
Q01059,"In fruit flies, red eyes are dominant over sepia eyes. A male with red eyes is crossed with a female with sepia eyes producing first generation offspring that all had sepia eyes. What does this indicate about the flies that were crossed?"
Q01060,"What event does the lack of natural predators prevent?"
Q01061,"One way humans may be polluting the Earth is"
Q01062,"Squirrels eat a variety of foods including"
Q01063,"If I wanted to build endurance I could"
Q01064,"What common code do all known living organisms use?"
Q01065,"What is the smallest volcanic landform that is formed from accumulation of many small fragments of ejected material?"
Q01066,"What negatively affects plant life?"
Q01067,"Heat is transferred from one object to another object. What is an example of heat transferred by radiation?"
Q01068,"What stimulates the reproductive system to form male organs in growth?"
Q01069,"What genes promote the division of cells with mutation?"
Q01070,"Sue measured how much sugar would dissolve in a cup of cold water, a cup of warm water, and a cup of hot water. What did she most likely observe?"
Q01071,"In addition to spiral cleavage, protostomes also undergo which other form of cleavage?"
Q01072,"Low levels of thyroid hormones in the blood cause the release of what by the hypothalamus and pituitary gland?"
Q01073,"what do nucleotides bind together to form?"
Q01074,"An increase in phosphate levels in a lake increases the population of algae in the lake. Increased algae blocks sunlight into the lake and results in a decrease in dissolved oxygen in the lake's water. Which of the following should be expected as a result?"
Q01075,"Who is likeliest to overuse hot water?"
Q01076,"What can cause a lake to form?"
Q01077,"Which tool would best help a student closely observe the smallest living thing in a drop of pond water?"
Q01078,"In the equatorial Pacific Ocean, upwelling moves cold, deep sea water to the surface. This water is rich in nutrients and dissolved carbon dioxide gas. During an El Niño event, upwelling declines. This causes surface waters to rise in temperature. Which of the following is most likely to occur in the equatorial Pacific Ocean during an El Niño year?"
Q01079,"A bicycle may be used for"
Q01080,"A pencil falls off of a desk. What moves the pencil toward the floor?"
Q01081,"What is the consistency of the Himalayan rocks?"
Q01082,"When ice buildup is on a sidewalk, the ice may be reduced by"
Q01083,"Many grass snakes are green. The color of the snake most likely helps it to"
Q01084,"Which law states that a pair of alleles is separated, or segregated, during the formation of gametes?"
Q01085,"Polar bears require"
Q01086,"What feature allows frogs to absorb substances from the environment?"
Q01087,"The reason that flies can always find food is that they can smell"
Q01088,"What is the complementary base of adenine in DNA?"
Q01089,"Some kinds of fish live most of their lives in salt water but lay their eggs in freshwater. Their ability to survive in different environments is an example of"
Q01090,"A student has recorded rainfall amounts for 28 days and uses a calculator to determine the total rainfall. What does the student calculate when she divides the total rainfall by 28?"
Q01091,"Which invention has done the most to help predict weather and warn people of approaching storms?"
Q01092,"if an object is what of a Ceramic then that object has the properties of Ceramic"
Q01093,"an animal requires what by the body for survival"
Q01094,"The circulatory system and the endocrine system work together in the human body. Which describes one way in which these systems interact?"
Q01095,"Which are caused by the Coriolis Effect?"
Q01096,"what uses its skin for protection?"
Q01097,"What are pollens?"
Q01098,"The MAJORITY of the elements found on the Periodic Table of the Elements are"
Q01099,"Chloroplasts in cells make it possible for the cells to"
Q01100,"When electrons move from one atom to another, they become what?"
