id,question
Q00001,"An infection of the brain is called?"
Q00002,"what causes brain atrophy?"
Q00003,"Which  type of cell division halves the number of chromosomes?"
Q00004,"The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system?"
Q00005,"What is the bulb called in the frontal lobe that processes smells?"
Q00006,"What energy is the energy of motion?"
Q00007,"If the Earth did not tilt on its axis in relation to the sun, which of the following would also be true?"
Q00008,"What term is used to describe the organism that is invaded and often harmed by a pathogen?"
Q00009,"Which steps in the water cycle most directly cause floods?"
Q00010,"Asexual, sexual, budding, and parthenogenesis are all forms of what?"
Q00011,"Which animals live part of their lives in water and part on land, and go through metamorphosis?"
Q00012,"How do oceans influence seashore climates?"
Q00013,"Which theory states that the characteristics of living things are controlled by genes?"
Q00014,"After ovulation occurs, the moving “fingers” of what nearby structure sweep the egg into its tube?"
Q00015,"Which two events are guaranteed to each happen in a 24 hour cycle?"
Q00016,"The basic functioning unit of life all share the same what?"
Q00017,"An object can be seen if it reflects light toward what?"
Q00018,"Which example describes an organism taking in nutrients?"
Q00019,"A sousaphone"
Q00020,"How many types of tissue are found in animals?"
Q00021,"Populations of viruses do not grow through division because they are what?"
Q00022,"What can cause disease?"
Q00023,"What does a ship move from continent to continent?"
Q00024,"Which two objects would electricity best flow through?"
Q00025,"Researchers work in teams to make cars more fuel efficient. Which of these statements describes the main advantage of working in teams rather than working individually?"
Q00026,"Fire converts energy into something people use for what?"
Q00027,"What helps people see?"
Q00028,"Which likely has a negative impact?"
Q00029,"What does power imply is happening to energy?"
Q00030,"Which factor will prompt an animal's fight-or-flight response?"
Q00031,"A cat finds it easiest to get a grip when climbing up"
Q00032,"What causes the gravitational force exerted by an asteroid?"
Q00033,"When will the humidity increase in relation to bodies of water?"
Q00034,"What do light emitters do to what you see?"
Q00035,"Water vapor turning from a gas into a liquid causes what?"
Q00036,"In an experiment, what is kept constant so they will not affect the results, including affecting the dependent variable?"
Q00037,"What do the energy resources uranium and coal have in common?"
Q00038,"How do bipedal creatures walk?"
Q00039,"What happens to energy in a closed system?"
Q00040,"as a source of light moves directly overhead of an object , the size of the shadow of that object will do what?"
Q00041,"How can you keep a fire from getting bigger?"
Q00042,"Sponges eat primarily"
Q00043,"What can cause something to have a change of state?"
Q00044,"Which object is made to reflect light?"
Q00045,"What type of job do ethologists have?"
Q00046,"A baby bear has golden fur which is medium length. The reason for this is most likely"
Q00047,"What do doctors call farsightedness or the inability to see close objects clearly?"
Q00048,"Which of the following statements applies to all states of matter?"
Q00049,"What are bird beaks often adapted to eat?"
Q00050,"Which of these items must be combined with a river to produce power?"
Q00051,"Which is likely to be digested?"
Q00052,"what does predicting weather require?"
Q00053,"Your immune system would be less effective if you didn't get enough of this"
Q00054,"Which tools are best used to determine the speed of a turtle as it walks along a path?"
Q00055,"Organisms that depend on other organisms for food play what role in the food chain?"
Q00056,"Jagged mountains would most likely become rounded hills through which process?"
Q00057,"Where is moss the strongest?"
Q00058,"Cooking a burger on a grill does what to the burger?"
Q00059,"What affects the environment negatively?"
Q00060,"What can protons and neutrons be broken down into?"
Q00061,"Lungs, pharynx, larynx, trachea, and bronchi are part of which system?"
Q00062,"If a person has bacteria in a certain part of their insides, it can help by"
Q00063,"Which color shirt will reflect the most light on a hot, sunny day?"
Q00064,"Populations that are biodiverse might be called:"
Q00065,"A creature exhibiting an instinctive behavior may"
Q00066,"What can be defined simply, as a change in position?"
Q00067,"One year, the oak trees in a park began producing more acorns than usual. The next year, the population of chipmunks in the park also increased. Which best explains why there were more chipmunks the next year?"
Q00068,"A student investigates the effect of temperature on the distance a caterpillar travels in one minute. The student performs the investigation at four different times of day using one caterpillar. This experiment could be improved if the student"
Q00069,"What plant hormone allows plants to curve in a specific direction?"
Q00070,"Miletinae in the air above will have gone through a transmutation and would have already gone through what pre imago but post egg stage ?"
Q00071,"What provides an early, rapid, and nonspecific defense against invading pathogens?"
Q00072,"At what temperature does solid water melt to a liquid?"
Q00073,"The purpose of scientific investigations generally is to test a what?"
Q00074,"what can be found in moist soil near rivers and streams in tropical regions?"
Q00075,"What can cause golf clubs to repel each other?"
Q00076,"Clay is watching the weather to prepare for a trip to the beach tomorrow. The forecast predicts that a low-pressure system will move in overnight. Which type of weather can Clay most likely expect in the morning?"
Q00077,"Every hour, the tiny kitten cried for milk. It was true that"
Q00078,"Scientists can use what tool to determine an earthquake's strength?"
Q00079,"Rosa and Ted ate granola bars before competing in a swimming competition. Less than 50% of the chemical energy in the granola bars was converted to mechanical energy during the swim competition. If all the energy in the granola bars was used, which most likely happened to the rest of the energy?"
Q00080,"Mirrors and lenses are used in optical instruments to reflect and refract what?"
Q00081,"A lipid is one of a highly diverse group of compounds made up mostly of what?"
