Q00101,"What type of craniates have backbones?"
Q00102,"What removes wastes and excess water from the body?"
Q00103,"Pipes can burst because at low temperatures, water does what?"
Q00104,"A ramp is an example of what?"
Q00105,"Which of the following converts electrical energy into noise?"
Q00106,"Most members of what kingdom of spore-making organisms grow on the forest floor, where the dark and damp environment is rich?"
Q00107,"The a in atp is short for what?"
Q00108,"Two kinds of sex hormones are of particular importance in females: progesterone, which prepares the uterus for pregnancy and prevents the further release of eggs from the ovaries during pregnancy, and the estrogens, which are mainly responsible for the development of female secondary sexual characteristics, such as breast development and increased deposition of this?"
Q00109,"Which of these animals could keep itself warmest?"
Q00110,"After a heavy rain, a mudslide flows into a pond and mud mixes into the water. Which of the following is most likely to happen?"
Q00111,"When we move down a group of elements on the periodic table, what happens to their electronegativity?"
Q00112,"Which property supports the hypothesis that eukaryotic mitochondria were once prokaryotic organisms?"
Q00113,"Ocean currents transfer heat from the equator towards what locations?"
Q00114,"Ricardo has an igneous rock in his rock collection. Where did this rock most likely form?"
Q00115,"Which surgery is most like the way a transgenic organism is made?"
Q00116,"The muscles exert forces on the body and enable movement by"
Q00117,"How many pairs of chromosomes are there?"
Q00118,"Stomata are special pores that allow gasses to enter and exit what?"
Q00119,"What kind of electricity can you generate with the energy found in flowing water?"
Q00120,"What is the property by which water molecules stick together?"
Q00121,"How are plant cells and human cells the same?"
Q00122,"A way in which sound may be heard is"
Q00123,"The need for farmland in Brazil has led to the cutting of the rain forests in the Amazon. Cutting trees in the Amazon rain forest might have a global effect by"
Q00124,"Anthony and Zach want to know how the temperature of the air affects the temperature of lake water. Which type of tool should they use to measure the temperatures?"
Q00125,"What is one way to change water from a liquid to a solid?"
Q00126,"What is a cactus stem used to reserve?"
Q00127,"Damage to the structural units of the kidneys can be caused by  .."
Q00128,"if two things seemingly come closer together without a person interfering, which of these is likely?"
Q00129,"Scientists use ice cores to identify and explain previous climatic trends. By correlating climatic conditions recorded in the ice, with solid, nonsnow particles also found in the ice, scientists can help to predict the climatic impact of which phenomena?"
Q00130,"In order to classify a newly discovered organism, a scientist investigates the structure, DNA, and life cycle of the organism. The scientist will most likely use the results of the investigation to"
Q00131,"Is wind power renewable or non renewable?"
Q00132,"It can take millions of years for fossil fuels to form. These fossil fuels form underground from decaying plants and animals. Which term best describes a fossil fuel?"
Q00133,"Plants use energy directly from the sun. What do they use the energy from the sun for?"
Q00134,"What should you do for cold weather?"
Q00135,"What mammal is often a pollinator of nocturnal flowers?"
Q00136,"Which organisms make energy available to all other organisms in a food chain?"
Q00137,"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?"
Q00138,"Whose rules are too simple to explain the inheritance of human height?"
Q00139,"which of the following are a type of exercise?"
Q00140,"The planets in the solar system revolve around the Sun because the Sun is"
Q00141,"Ticks spread bacteria that causes what condition?"
Q00142,"What do refrigerator magnets contain that make them stick to a refrigerator door?"
Q00143,"What becomes larger when cell walls relax?"
Q00144,"The core of a star collapses during what event, forming a neutron star?"
Q00145,"Light energy is absorbed by which kind of molecule?"
Q00146,"What is the primary reason for providing detailed, accurate records from scientific investigations?"
Q00147,"In a system of a body, this thing is broken down into smaller pieces to be effectively used:"
Q00148,"Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?"
Q00149,"What is pluto now called?"
Q00150,"Cells in green algae divide along cell plates called what?"
