Q01401,"Glucose, fructose, and galactose are hexose sugars, which contain six atoms of what element?"
Q01402,"The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?"
Q01403,"Sam builds a ramp and lets a toy car roll down. Which describes the energy of the car as it rolls down the ramp?"
Q01404,"As leaves turn from green to gold, another change is"
Q01405,"Which life function is the same for an amoeba as for other freshwater protists?"
Q01406,"What is the outer layer of the sun made up of?"
Q01407,"Radon (rn) is a radioactive gas formed by the decay of naturally occurring uranium in rocks such as granite. it tends to collect in the basements of houses and poses a significant health risk if present in indoor air. many states now require that houses be tested for radon before they are what?"
Q01408,"what makes food cooking possible?"
Q01409,"what remains are changed into natural gas by heat and pressure change?"
Q01410,"The function of a plant's roots is to take in"
Q01411,"What often causes growth?"
Q01412,"The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?"
Q01413,"The process of producing mature sperm is called what?"
Q01414,"A cobweb is used to capture what?"
Q01415,"Dogs"
Q01416,"What causes weather changes?"
Q01417,"What helps plants germinate?"
Q01418,"Birds come in a variety of colors, shapes, and sizes. Which usually determines the color, shape, and size of a bird?"
Q01419,"What kind of reaction is a reaction in which two or more substances combine to form a single new substance?"
Q01420,"what requires a warm body temperature for survival?"
Q01421,"When a light bulb is turned on, energy changes from one form to another. Which of the following best describes this change?"
Q01422,"Feeling sweaty is normal on the ocean because"
Q01423,"What process joins two haploid gametes into a diploid zygote?"
Q01424,"Fatal swelling of what organ can result from both encephalitis and meningitis, which typically cause a severe headache and a fever?"
Q01425,"Which is the best description of the brightness of the Sun?"
Q01426,"Heat, electricity, or light might provide what necessary input to the process of decomposition?"
Q01427,"Tori made some observations about a grasshopper she saw on a nature walk. Which statement about the grasshopper is a scientific observation?"
Q01428,"Taking it out into the sun can"
Q01429,"While hiking through Granville State Forest, a student finds an unusual plant-like organism that appears to lack chlorophyll. When the student examines a sample using a microscope, he sees many cells with cell walls and no chloroplasts. This organism is most likely a member of what Kingdom?"
Q01430,"What do you call the folded layers of rock where geologists look for oil?"
Q01431,"Which characteristic of a volvox colony makes it more like a multicellular organism than a simple cluster of unicellular organisms?"
Q01432,"A student uses a hand lens to observe which of these objects?"
Q01433,"Female monotremes share what external opening with reptiles and birds?"
Q01434,"What is a group of organs that work together to do the same job?"
Q01435,"Ether molecules have an oxygen atom and can engage in hydrogen bonding with which other molecules?"
Q01436,"What does blood in the veins have a lot of?"
Q01437,"Some women experience cramping and pain before and during what monthly cycle?"
Q01438,"Miriam notices when she goes to the beach that sometimes the water rises as high as the pier. At other times of the day, the water barely covers the pillars under the pier. These differences in water level are primarily due to the gravitational influence of which of the following?"
Q01439,"what is considered to be nonliving?"
Q01440,"The strength of what depends on the concentration of hydrogen ions it produces when dissolved in water?"
Q01441,"Which soil component has the least capacity for holding water?"
Q01442,"What is most likely to occur before a rainstorm?"
Q01443,"If a thing is residing in a hollowed out part of a tree, then it is probably"
Q01444,"A student stirred some sand into a container of water and left the mixture alone for several hours until the sand settled on the bottom of the container. Which statement best explains why the sand separated from the water?"
Q01445,"readily available liquid manure is a what?"
Q01446,"What does sunlight do to a plant?"
Q01447,"What is earth’s geographic north pole also called?"
Q01448,"What are not cells at all, so they are neither prokaryotes nor eukaryotes?"
Q01449,"Which element below is found in the smallest quantity in most living things?"
Q01450,"frozen rainfall falling leaves the northern hemisphere a carpeted"
