Q01701,"As water gets warmer"
Q01702,"A caterpillar changing into a butterfly is an example of"
Q01703,"What can water cause?"
Q01704,"Scientists study animal behavior through which of the following?"
Q01705,"What is happening when rocks are broken down by both physical and chemical changes?"
Q01706,"Which is a pollinating creature?"
Q01707,"What is the name of the light cycle that plants detect?"
Q01708,"One method of heat distribution is a baseboard forced hot water system. A baseboard system carries hot water through a pipe that passes through many small, flat plates called fins. What is the purpose of these fins?"
Q01709,"What does an engine require burning?"
Q01710,"In the case of a light bulb, electricity is converted to light and what kind of energy?"
Q01711,"The force exerted by a diving board is conservative, provided the internal friction is this?"
Q01712,"The presence of what in leaf cells makes most leaves appear green?"
Q01713,"The temperatures in space vary from extremely cold to extremely hot. Earth's surface temperature is relatively stable. Which of these is most responsible for Earth's surface temperatures?"
Q01714,"Which is most reliant on nonrenewable resources?"
Q01715,"The bones of the skull are connected by what type of joints?"
Q01716,"When newly discovered information supports an established theory in a new way, the theory"
Q01717,"Earth orbiting the Sun causes"
Q01718,"Solar cells turn sunlight directly into what?"
Q01719,"which one of these would be an original form of what powers most autos?"
Q01720,"Saprolite is created when what interacts with wind over long periods of time?"
Q01721,"What is wind used for?"
Q01722,"When you press on the brakes in a car, because of friction,"
Q01723,"What are invaluable for soil health?"
Q01724,"What is the rate of change of velocity called?"
Q01725,"What is to blame for water’s boiling point (100°c) being higher than the boiling points of similar substances?"
Q01726,"If a creature is looking for things but is using something other than its eyes or nose, then it is likely"
Q01727,"Chewing a bite of bread mixes it with what and facilitates its chemical breakdown?"
Q01728,"What measures exactly how much gravity is pulling on something?"
Q01729,"Like plants, animals are multicellular what?"
Q01730,"An egg requires warmth to do what?"
Q01731,"When the sun is set it is called what?"
Q01732,"The animal kingdom can also be divided into two basic groups, what are they?"
Q01733,"What are protons and neutrons that make up the nucleus of an atom called?"
Q01734,"Which atmospheric gas has the greatest effect on the weather conditions associated with an air mass?"
Q01735,"A boy wants to feed a gecko so he gives it"
Q01736,"What are the two basic parts that all flowering plants have in common?"
Q01737,"What is the most important factor determining soil type?"
Q01738,"Which statement is an opinion about the element copper?"
Q01739,"What is the basic unit of computer memory?"
Q01740,"What is the type of plant called when its leaves seasonally turn color and fall off?"
Q01741,"How much of the soil is made of pieces of rock and minerals?"
Q01742,"Which of the following can explain the evolutionary part of organism's environment?"
Q01743,"Which describes the size of an object?"
Q01744,"what is a stationary object?"
Q01745,"Atoms make up many things, like what?"
Q01746,"Which of the following statements best describes how the four planets closest to the Sun are different from the next four planets in our solar system?"
Q01747,"Exposure to what is the most common cause of hearing loss?"
Q01748,"Muscles are composed mostly of cells called what?"
Q01749,"A changing magnetic field produces an electric current in what?"
Q01750,"What type of energy travels through space as electrical and magnetic waves?"
