Q00851,"Which action is a learned characteristic of a newborn horse?"
Q00852,"Why has only one-half of the Moon ever been observed from Earth?"
Q00853,"What method uses a retailer's coding method to catalog biological specimens in museums?"
Q00854,"As bacterial resistance to antibiotics rises, the ability of medical professionals to"
Q00855,"What is a thin layer of gas that surrounds earth called?"
Q00856,"The bottom of the space shuttle is covered with ceramic tile. This material was chosen because it withstands"
Q00857,"What are the two hormones primarily responsible for maintaining homeostasis of blood glucose levels?"
Q00858,"The length of a year on Earth is a little over 365 days. The length of a year on a planet is best described as the time it takes for which to occur?"
Q00859,"Which statement best explains why photosynthesis is the foundation of most food webs?"
Q00860,"During the summer solstice the Earth is actually what in relation to the red giant?"
Q00861,"The efficiency of an engine range is due to what?"
Q00862,"What two things are a phospholipid molecules composed of?"
Q00863,"what is there a greater chance of in stormy weather?"
Q00864,"An extremely rapid surge of rising flood water that moves across usually dry land at about 30 feet or more each second is powerful enough to"
Q00865,"A major function of a plant's roots is to"
Q00866,"You would use a lever to move a"
Q00867,"The skeletal system protects"
Q00868,"Every copy of a particular protein manufactured by a cell shows the same incorrect amino acid at the same point in its structure. According to the central dogma of molecular biology, in which structure does this error originate?"
Q00869,"A group of vertebrates has lungs, a body covered with scales, internal fertilization, and amniotic eggs. Which group of vertebrates does this describe?"
Q00870,"Humans can be protected with"
Q00871,"Name the bacteria that make food through photosynthesis and release oxygen into the air?"
Q00872,"A magnifying glass would be useless in viewing?"
Q00873,"Examples of what process are evident in many biological systems because cells are surrounded by semipermeable membranes?"
Q00874,"What happens to the volume of a balloon when you add moles of gas to it by blowing up?"
Q00875,"Which body of water would be able to  dissolve oxygen and nutrients the best?"
Q00876,"What is something that all machines must overcome?"
Q00877,"What is when something changes from a gas into a liquid by reducing what is measured in temperature?"
Q00878,"migration is when animals travel from the northern state such as north dakota to Texas during what segment of time?"
Q00879,"Along with other elements, most ores are made of what?"
Q00880,"Which of the following is an example of the formation of a mixture?"
Q00881,"If a hog is going to eat dinner it can"
Q00882,"Insects have more social behaviors because all what?"
Q00883,"Keeping food cold prevents"
Q00884,"The domain geometry for a molecule with four electron pairs is called what?"
Q00885,"Making ups about 50 percent of the modern american diet, what food group can be classified according to the number of monomers they contain of simple sugars and/or complex sugars?"
Q00886,"Electricity can flow as long as it has a conductor to help it along, such as"
Q00887,"what does energy require?"
Q00888,"what do wind and rain cause?"
Q00889,"In a smoke detector, a battery in the electric circuit creates what between the metal plates?"
Q00890,"Which is a characteristic of a sperm cell but not of an egg cell?"
Q00891,"what needs contact to smooth over long periods of time?"
Q00892,"If a machine only changes the direction of a force without changing the ratio of the output/input forces, then what is its associated mechanical advantage?"
Q00893,"In a heat map, what color represents the hottest temperatures?"
Q00894,"What makes bagels easier to chew?"
Q00895,"What vitamins help heal bones?"
Q00896,"Natural disasters can cause"
Q00897,"An engineer designing a suspension bridge discovers it will need to carry twice the load that was initially estimated. One change the engineer must make to her original design to maintain safety is to increase the"
Q00898,"How do they classify tornadoes?"
Q00899,"What do animals use as a food course?"
Q00900,"Lying with their mouths open, a behavior called gaping, probably serves what function for crocodiles?"
