id,source,question
Q001,sciq,Which system in your body stores urine and is controlled by the nervous system?
Q002,openbookqa,"A needle lined with magnets will pull north. If north is to the right and you want to go west, you'd walk"
Q003,arc_easy,At what temperature does pure water boil?
Q004,sciq,What are all living things made of?
Q005,qasc,Ice wedging is when freezing water expands and what?
Q006,qasc,What does igneous intrusion create?
Q007,arc_challenge,How many times does Earth rotate on its axis in one day?
Q008,arc_challenge,Which of the following changes occurs as a solid is heated?
Q009,qasc,What are in the animal kindgom?
Q010,sciq,"Most autotrophs make their ""food"" through which process, using the energy of the sun?"
Q011,openbookqa,some level of crushing and pressure would be needed for sedimentary rock formation
Q012,qasc,The habitat of spoonbills is an extremely important what?
Q013,sciq,"What develop inside chambers called ovaries, which originate within flowers and mature into fruits?"
Q014,openbookqa,"Due to plates gliding over our planet's mantle, why is Vancouver likely to be destroyed?"
Q015,openbookqa,"Since June is cold and wet in Australia, it makes sense that at the same time"
Q016,qasc,Which tree's leaves change color in autumn
Q017,openbookqa,Some prey animals may elude predators by
Q018,sciq,"In physics, what is defined as the average kinetic energy of the particles of matter?"
Q019,sciq,Do motile cilia usually occur in small or large numbers on the cell surface?
Q020,sciq,Chewing insects such as dragonflies and grasshoppers have how many sets of jaws?
Q021,qasc,Organs of waste do what to the waste system?
Q022,sciq,What is reduced and forms part of the gelatinous disks sandwiched between the vertebrae in humans?
Q023,qasc,What is required for a light bulb to produce light?
Q024,openbookqa,"If a river is flowing down the east side of a hill, then the hill"
Q025,arc_challenge,"A snack consists of peanuts, sunflower seeds, raisins, almonds, and chocolate pieces. Which statement describes why this is a mixture?"
Q026,openbookqa,"Salamanders may be unable to survive in a hot, dry location lacking food and water, but if it has food and water in an ideal location"
Q027,sciq,Trichomoniasis is cause by what type of pathogen?
Q028,qasc,What had to bend to form the Himalayas?
Q029,qasc,Where does sperm go after it leaves the male?
Q030,sciq,An antigen is a molecule that reacts with some component of the what response?
Q031,sciq,What does the large central vacuole do?
Q032,sciq,Eukaryotic cells contain what type of structures that possess special functions?
Q033,openbookqa,Absorbing sun rays
Q034,openbookqa,Sediment is a result of the process of
Q035,sciq,What increases the chances of someone inheriting a mitochondrial disease?
Q036,arc_easy,Some materials are electrical conductors. Which material best conducts electricity?
Q037,arc_easy,Green plants get the energy they need to make food from
Q038,arc_easy,Beans and coal both have stored energy. Where did the energy come from that is stored in beans and coal?
Q039,arc_easy,Which of these living things in a grassland ecosystem depend on the presence of a variety of bacteria and other microorganisms in the soil?
Q040,sciq,A convergent plate boundary is created when two plates do what?
Q041,arc_challenge,Michael has a pencil case made of pine wood. The surface of the pencil case scratches and dents easily. He wants to make a new pencil case that will not scratch or dent easily. Which of the following should Michael do to make a new pencil case that will not scratch or dent easily?
Q042,openbookqa,if a habitat is destroyed then that habitat
Q043,openbookqa,Magnification makes a small thing
Q044,sciq,Electromagnetic radiation behaves like particles as well as what?
Q045,qasc,if an animal sweats it can cause
Q046,qasc,When do moose begin behavior intended to attract a mate?
Q047,qasc,Animals rely on what for survival?
Q048,sciq,The adrenal cortex directly influences the function of what organs through the production of the hormone aldosterone to stimulate sodium reabsorption?
Q049,sciq,The first few species to colonize a disturbed area are called what?
Q050,sciq,"The diapsids diverged into two groups, the archosauromorpha (“ancient lizard form”) and the lepidosauromorpha (“scaly lizard form”) during what time period?"
Q051,openbookqa,Humans are able to eat
Q052,arc_challenge,All of these are examples of the ways Earth and the Moon interact except
Q053,qasc,Damming a river can cause what in a depression?
Q054,openbookqa,A person playing a song on a string instrument makes strings
Q055,openbookqa,"2000 years ago, this method would likely have brought sand from the coast to the desert"
Q056,sciq,Energy cannot be created or destroyed - it can only change what?
Q057,qasc,What requires electrical energy to function?
Q058,openbookqa,What lives in their habitat?
Q059,arc_challenge,Some power plants release heated water into rivers. This practice adds thermal energy to the river that most likely
Q060,sciq,Mitosis and meiosis are both forms of division of the nucleus in these?
Q061,sciq,Neutron stars are the corpses of left over what?
Q062,arc_easy,Which event is most likely to increase the genetic variation in a population of organisms?
Q063,qasc,Bacteria are?
Q064,sciq,The addition of heat changes liquid water to what?
Q065,arc_easy,What is a job of white blood cells?
Q066,openbookqa,which of these can alter its appearance naturally to evade being captured?
Q067,arc_easy,"When using more than the recommended amounts of pesticide on farmland, yards, and gardens, what is most likely to occur?"
Q068,openbookqa,Where would more water fall from the sky yearly?
Q069,arc_challenge,The force of gravity on an object depends primarily on the object's
Q070,qasc,How many appendages do insects have to detect sound?
Q071,qasc,What protects internal organs?
Q072,arc_easy,Carolina uses a microscope to view a soil sample taken from her backyard. Which part of the soil would she ONLY be able to see with a microscope?
Q073,sciq,What do populations gain through births and immigration?
Q074,arc_easy,What is the main source of energy for the water cycle?
Q075,qasc,What have meristems for growth?
Q076,sciq,"When land used for mining or other purposes is restored to its natural state, what do you call the process, which is often mandated by law?"
Q077,qasc,Petals attract animals such as bees to what part of a producer?
Q078,arc_challenge,Which situation is an example of an inherited trait?
Q079,sciq,What type of bonds do alkanes only contain?
Q080,openbookqa,"A person needs to find a way to shore while on a raft. Another person tells the first person which direction to go in order to safely reach land, so the person directing is"
Q081,arc_easy,A star is a large astronomical body that
Q082,arc_challenge,In which two parts of the water cycle does water absorb energy?
Q083,sciq,Renal plasma flow equals the blood flow per minute times the what?
Q084,sciq,The sites of protein synthesis are tiny structures called?
Q085,openbookqa,What typically occurs between a sixth and a half of a minute?
